Player,Team,Pos,RushingAtt,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FL,PassingAtt,PassingCmp,PassingYds,PassingTD,TotalInt,TotalSacks,Int,FumblesRecovered,FumblesForced,DefensiveTDs,SafetysForced,PointsAllowed,YardsAgainst,FieldGoalsMade,FieldGoalsAttempted,ExtraPointsMade
Tyron Johnson,LV,WR,0,0,0,3,38.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Funchess,DET,WR,0,0,0,3,39,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dax Milne,WAS,WR,0,0,0,3.3,38.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Houston,DAL,WR,0,0,0,5,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dante Pettis,CHI,WR,0,0,0,2.9,40.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Sims Jr.,PIT,WR,0,0,0,3.7,38.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denzel Mims,NYJ,WR,0,0,0,3,37.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Isabella,ARI,WR,0,0,0,3,36.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KeeSean Johnson,ATL,WR,0,0,0,3,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keelan Doss,NYG,WR,0,0,0,3.6,39.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotty Miller,TB,WR,0,0,0,2.8,35.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Sills V,NYG,WR,0,0,0,3.5,38.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Coulter,CHI,WR,0,0,0,3,38.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Moore Jr.,LAC,WR,0,0,0,2.8,34.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis Fulgham,GB,WR,0,0,0,2.6,31.8,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Batson,ATL,WR,0,0,0,3.2,35.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Thompson,SEA,WR,0,0,0,3.2,34.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gunner Olszewski,PIT,WR,0,0,0,2.4,29.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Gordon,KC,WR,0,0,0,1.7,26,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Reed,LAC,WR,0,0,0,1.4,28.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Powell,LAR,WR,0,0,0,1.8,20.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tre Nixon,NE,WR,0,0,0,1.7,19.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Darby,ATL,WR,0,0,0,1.6,18,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Arcega-Whiteside,SEA,WR,0,0,0,1.5,17,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daurice Fountain,KC,WR,0,0,0,1,10.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Watson,KC,WR,0,0,0,0.9,10.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rico Gafford,GB,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Chisena,MIN,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
River Cracraft,MIA,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawrence Cager,NYJ,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deon Cain,PHI,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willie Snead IV,SF,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin White,NO,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Coleman,KC,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Kennedy,DET,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Zuber,LV,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Erickson,WAS,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slade Bolden,BAL,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanner Gentry,BUF,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Hightower,PHI,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Allen,BUF,QB,116.9,662.3,6.9,0,0,0,3.5,607.5,390.2,"4,406.10",34.6,13.9,0,0,0,0,0,0,0,0,0,0,0
Patrick Mahomes II,KC,QB,66.5,360,2.8,0,0,0,2.8,634.6,418.1,"4,846.70",35.9,11.6,0,0,0,0,0,0,0,0,0,0,0
Justin Herbert,LAC,QB,65.1,299.7,3.2,0,0,0,1.4,625.6,415.7,"4,684.20",33.9,13.3,0,0,0,0,0,0,0,0,0,0,0
Lamar Jackson,BAL,QB,158.6,956.7,4.9,0,0,0,3.5,520.2,336.5,"3,731.50",24.5,13.2,0,0,0,0,0,0,0,0,0,0,0
Kyler Murray,ARI,QB,107.3,552.6,5.5,0,0,0,2.3,571.7,384.8,"4,263.80",27.3,12.3,0,0,0,0,0,0,0,0,0,0,0
Jalen Hurts,PHI,QB,144.7,772.8,7.9,0,0,0,2.9,495.1,307.3,"3,645.30",24.4,12.6,0,0,0,0,0,0,0,0,0,0,0
Tom Brady,TB,QB,27.9,45.9,1.7,0,0,0,2.4,652.9,433.9,"4,846.00",36.3,11.9,0,0,0,0,0,0,0,0,0,0,0
Dak Prescott,DAL,QB,55.3,228.9,2.9,0,0,0,4.1,593.8,399.4,"4,560.00",32.7,11.7,0,0,0,0,0,0,0,0,0,0,0
Joe Burrow,CIN,QB,46.6,187.4,2.2,0,0,0,1.8,570,386.5,"4,574.10",31.3,12.8,0,0,0,0,0,0,0,0,0,0,0
Aaron Rodgers,GB,QB,38.7,136.2,1.8,0,0,0,1.6,559.6,377.5,"4,331.60",32.6,7.1,0,0,0,0,0,0,0,0,0,0,0
Matthew Stafford,LAR,QB,33.3,99.3,1.2,0,0,0,2.4,587,392.3,"4,588.50",33.6,14.1,0,0,0,0,0,0,0,0,0,0,0
Trey Lance,SF,QB,125.9,643.3,5.2,0,0,0,2.6,469,295,"3,563.40",23.8,12.7,0,0,0,0,0,0,0,0,0,0,0
Russell Wilson,DEN,QB,62.7,279.1,2.1,0,0,0,2.3,540.7,356.4,"4,111.10",29,9.6,0,0,0,0,0,0,0,0,0,0,0
Kirk Cousins,MIN,QB,29.2,107.1,1.1,0,0,0,2.9,574.1,379.2,"4,347.90",31.2,11.4,0,0,0,0,0,0,0,0,0,0,0
Derek Carr,LV,QB,38.7,131.1,1.2,0,0,0,3.6,597.2,399.4,"4,498.90",28.9,12.9,0,0,0,0,0,0,0,0,0,0,0
Tua Tagovailoa,MIA,QB,55,205.6,2.8,0,0,0,2.4,574.8,379.3,"4,029.50",25.6,13.3,0,0,0,0,0,0,0,0,0,0,0
Ryan Tannehill,TEN,QB,55,253.8,3.9,0,0,0,2.6,516.5,340.7,"3,753.50",24.2,13,0,0,0,0,0,0,0,0,0,0,0
Trevor Lawrence,JAC,QB,71,330.4,2.4,0,0,0,3,585.2,370.1,"3,940.80",22.5,13.9,0,0,0,0,0,0,0,0,0,0,0
Justin Fields,CHI,QB,107.3,593.3,3.7,0,0,0,5,504.9,311.9,"3,467.60",18.6,14.5,0,0,0,0,0,0,0,0,0,0,0
Daniel Jones,NYG,QB,81.4,424.7,2.7,0,0,0,4.7,537.8,337,"3,616.30",20.6,12.5,0,0,0,0,0,0,0,0,0,0,0
Matt Ryan,IND,QB,34.4,121.1,1.4,0,0,0,3.6,539.2,352.7,"3,937.70",25.9,11.4,0,0,0,0,0,0,0,0,0,0,0
Mac Jones,NE,QB,41.8,156.4,0.9,0,0,0,2.8,543.9,359,"3,941.50",24.9,13.9,0,0,0,0,0,0,0,0,0,0,0
Jameis Winston,NO,QB,53.8,273.8,1.7,0,0,0,2.8,486.5,305,"3,503.50",24.7,12.6,0,0,0,0,0,0,0,0,0,0,0
Carson Wentz,WAS,QB,57.4,240.1,1.8,0,0,0,3.9,538.2,343.2,"3,694.50",22.4,11.6,0,0,0,0,0,0,0,0,0,0,0
Jared Goff,DET,QB,31.7,80.2,1,0,0,0,3.8,565.6,371.4,"3,906.00",24.5,12.5,0,0,0,0,0,0,0,0,0,0,0
Baker Mayfield,CAR,QB,44.7,166,1.5,0,0,0,2.5,551.1,345.3,"3,736.80",21.5,14.5,0,0,0,0,0,0,0,0,0,0,0
Zach Wilson,NYJ,QB,43.1,221,2.4,0,0,0,1.8,537.9,326.7,"3,453.50",20.7,13.4,0,0,0,0,0,0,0,0,0,0,0
Davis Mills,HOU,QB,34.2,110.8,0.8,0,0,0,1.9,538,351.2,"3,775.50",20.6,14.1,0,0,0,0,0,0,0,0,0,0,0
Marcus Mariota,ATL,QB,54.6,328.9,2.4,0,0,0,1.2,420.2,263.9,"2,900.70",15.7,11.3,0,0,0,0,0,0,0,0,0,0,0
Mitch Trubisky,PIT,QB,42,208.6,1.8,0,0,0,1.3,404,258.1,"2,618.30",15.5,10.1,0,0,0,0,0,0,0,0,0,0,0
Jacoby Brissett,CLE,QB,26,107.2,1.2,0,0,0,2.5,332.1,207.8,"2,313.60",13,7.9,0,0,0,0,0,0,0,0,0,0,0
Drew Lock,SEA,QB,30.7,106.6,1.2,0,0,0,1.6,340.4,210.8,"2,016.20",11.6,8.3,0,0,0,0,0,0,0,0,0,0,0
Deshaun Watson,CLE,QB,35.1,186.7,1.8,0,0,0,1,190.1,128.6,"1,522.90",10.1,4.2,0,0,0,0,0,0,0,0,0,0,0
Geno Smith,SEA,QB,15.8,85.8,0.8,0,0,0,1.5,192.8,121.8,"1,770.00",10.3,6.8,0,0,0,0,0,0,0,0,0,0,0
Kenny Pickett,PIT,QB,19.7,87.1,0.7,0,0,0,1.3,227.4,140,"1,560.80",9.2,6.7,0,0,0,0,0,0,0,0,0,0,0
Desmond Ridder,ATL,QB,22.7,99.8,0.8,0,0,0,0.8,172,105.6,"1,190.20",6.2,4.9,0,0,0,0,0,0,0,0,0,0,0
Andy Dalton,NO,QB,3.9,13.6,0.1,0,0,0,0.2,57.8,36.3,408.9,2.9,1.7,0,0,0,0,0,0,0,0,0,0,0
Joe Flacco,NYJ,QB,1.8,7.3,0.1,0,0,0,0.6,50.2,31.1,441,2.6,1.4,0,0,0,0,0,0,0,0,0,0,0
Sam Darnold,CAR,QB,1.2,16.5,0.2,0,0,0,0.3,29.6,18.2,345,1.7,1.4,0,0,0,0,0,0,0,0,0,0,0
Mason Rudolph,PIT,QB,1.3,5,0,0,0,0,0,46,28.3,320.7,2,1,0,0,0,0,0,0,0,0,0,0,0
Tyrod Taylor,NYG,QB,4.3,25.1,0.1,0,0,0,0.3,43,26.2,290,1.7,0.9,0,0,0,0,0,0,0,0,0,0,0
Taysom Hill,NO,QB,21.7,99.7,0.9,0,0,0,0,11,7.2,77.9,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0
Tyler Huntley,BAL,QB,6.4,34.7,0.2,0,0,0,0.2,31.1,20.3,238.3,1.6,1.3,0,0,0,0,0,0,0,0,0,0,0
Jimmy Garoppolo,SF,QB,1.5,5,0,0,0,0,0,31.8,20.3,262.4,1.6,1.1,0,0,0,0,0,0,0,0,0,0,0
Joshua Dobbs,CLE,QB,3.8,25.4,0.2,0,0,0,0.1,26.6,17.3,232.5,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0
Trevor Siemian,CHI,QB,2.5,7.1,0,0,0,0,0.1,33.9,20.2,264.3,1.2,1,0,0,0,0,0,0,0,0,0,0,0
Gardner Minshew II,PHI,QB,4.3,16.9,0.1,0,0,0,0.2,30,19.2,207.4,1.4,0.7,0,0,0,0,0,0,0,0,0,0,0
Teddy Bridgewater,MIA,QB,2.1,7.3,0,0,0,0,0.1,28.5,18.6,198.7,1.2,0.5,0,0,0,0,0,0,0,0,0,0,0
Taylor Heinicke,WAS,QB,2.6,10.4,0,0,0,0,0.1,23.9,15.1,173.2,1.3,0.8,0,0,0,0,0,0,0,0,0,0,0
Malik Willis,TEN,QB,2,11.3,0.1,0,0,0,0.1,22.3,13.8,188.7,1,1.2,0,0,0,0,0,0,0,0,0,0,0
Cooper Rush,DAL,QB,2.1,3.6,0,0,0,0,0.1,26.6,16.6,187.3,1.2,0.4,0,0,0,0,0,0,0,0,0,0,0
Colt McCoy,ARI,QB,2.8,8.7,0,0,0,0,0.2,26.6,17.2,186,1.1,0.6,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,DEN,QB,2.8,10.1,0.1,0,0,0,0.2,19.4,12.7,171.4,1.1,0.8,0,0,0,0,0,0,0,0,0,0,0
Jordan Love,GB,QB,2.4,8.5,0.1,0,0,0,0.1,20.7,12.4,174.5,1.1,0.9,0,0,0,0,0,0,0,0,0,0,0
Kyle Allen,HOU,QB,1.6,6.2,0.1,0,0,0,0.8,27.3,17.2,188.1,1.1,0.7,0,0,0,0,0,0,0,0,0,0,0
Brian Hoyer,NE,QB,1.6,1.9,0.1,0,0,0,0.1,21.5,13.4,169.3,1,0.8,0,0,0,0,0,0,0,0,0,0,0
Blaine Gabbert,TB,QB,1.1,3.1,0.1,0,0,0,0.2,19.2,12.1,160.3,1,0.5,0,0,0,0,0,0,0,0,0,0,0
C.J. Beathard,JAC,QB,1.5,6.2,0,0,0,0,0.7,23.6,14.7,162.5,1.1,0.6,0,0,0,0,0,0,0,0,0,0,0
Kyle Trask,TB,QB,1,3,0,0,0,0,0,22,13,136,1,0,0,0,0,0,0,0,0,0,0,0,0
Case Keenum,BUF,QB,1.2,4.6,0,0,0,0,0.1,19.2,12.2,136.9,1,0.4,0,0,0,0,0,0,0,0,0,0,0
Jarrett Stidham,LV,QB,2.1,5.4,0,0,0,0,0.1,20.7,13.6,147,0.9,0.7,0,0,0,0,0,0,0,0,0,0,0
Sean Mannion,MIN,QB,1.6,6.1,0,0,0,0,0.2,19,11.3,127.8,1,0.4,0,0,0,0,0,0,0,0,0,0,0
John Wolford,LAR,QB,2,8.4,0,0,0,0,0.1,19.2,11.9,134.9,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0
Nick Foles,IND,QB,1.6,7,0,0,0,0,0.1,17.3,11.1,121.7,1,0.6,0,0,0,0,0,0,0,0,0,0,0
Tim Boyle,DET,QB,1.4,5.4,0,0,0,0,0.1,21.1,13,138.3,0.8,0.6,0,0,0,0,0,0,0,0,0,0,0
Brandon Allen,CIN,QB,1.4,5.7,0,0,0,0,0.1,17.4,11,125.9,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0
Brett Rypien,DEN,QB,1,2.7,0,0,0,0,0,15.3,9.3,107.3,1,0.3,0,0,0,0,0,0,0,0,0,0,0
Chase Daniel,LAC,QB,1.5,4.6,0,0,0,0,0.2,18.5,11.4,125.8,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0
Sam Howell,WAS,QB,2,8.8,0.1,0,0,0,0.1,16.4,10,108.8,0.7,0.5,0,0,0,0,0,0,0,0,0,0,0
Chad Henne,KC,QB,1.8,4.3,0,0,0,0,0.2,15.9,10.1,113.1,0.9,0.6,0,0,0,0,0,0,0,0,0,0,0
Nate Sudfeld,SF,QB,1.8,7.2,0.1,0,0,0,0.3,14.5,9.1,100.1,0.8,0.5,0,0,0,0,0,0,0,0,0,0,0
Nick Mullens,MIN,QB,0,0,0,0,0,0,0,13,8,95,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0
Mike White,NYJ,QB,2,1.5,0,0,0,0,0,11,6.5,73,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
Kellen Mond,MIN,QB,0.5,2,0,0,0,0,0,10,5.5,53,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Peterman,CHI,QB,2,9,0,0,0,0,0,7.5,4,45,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
Logan Woodside,TEN,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feleipe Franks,ATL,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Grier,DAL,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Book,NO,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Easton Stick,LAC,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Barkley,BUF,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Griffin,TB,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Blough,DET,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Driskel,HOU,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Eason,SEA,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davis Webb,NYG,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Luton,JAC,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJ Walker,CAR,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Streveler,NYJ,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Ehlinger,IND,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis Kelce,KC,TE,0,0,0,99.4,"1,179.50",9.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Andrews,BAL,TE,0,0,0,95.5,"1,187.60",8.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Pitts,ATL,TE,0,0,0,73.1,997.9,4.7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darren Waller,LV,TE,0,0,0,77.5,931.2,5.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Kittle,SF,TE,0,0,0,71.2,871.1,5.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalton Schultz,DAL,TE,0,0,0,77.5,805.5,6.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas Goedert,PHI,TE,0,0,0,63.5,794.5,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.J. Hockenson,DET,TE,0,0,0,67.7,693.3,5.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Henry,NE,TE,0,0,0,53.8,618.5,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawson Knox,BUF,TE,0,0,0,48.9,591.9,6.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Ertz,ARI,TE,0,0,0,64.7,663.1,4.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Gesicki,MIA,TE,0,0,0,60.2,656.6,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah Fant,SEA,TE,0,0,0,60.7,653,3.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Higbee,LAR,TE,0,0,0,59.2,595.5,4.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Kmet,CHI,TE,0,0,0,61.4,639.3,3.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Njoku,CLE,TE,0,0,0,53.2,603.1,4.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pat Freiermuth,PIT,TE,0,0,0,62.7,579.8,4.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irv Smith Jr.,MIN,TE,0,0,0,50.4,556.7,4.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerald Everett,LAC,TE,0,0,0,55,566.9,4.5,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Tonyan,GB,TE,0,0,0,45.7,520.6,4.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert Okwuegbunam,DEN,TE,0,0,0,49.4,509.5,4.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Thomas,WAS,TE,0,0,0,48.6,508.1,4.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evan Engram,JAC,TE,0,0,0,52.7,541.5,3.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Hooper,TEN,TE,0,0,0,50.9,497.7,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayden Hurst,CIN,TE,0,0,0,41.9,440.7,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mo Alie-Cox,IND,TE,0,0,0,35,422.7,3.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevin Jordan,HOU,TE,0,0,0,41.3,417.9,2.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Trautman,NO,TE,0,0,0,36,374.1,2.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Rudolph,TB,TE,0,0,0,33.2,331.6,3.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Uzomah,NYJ,TE,0,0,0,35.4,351.9,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Brate,TB,TE,0,0,0,34.3,317.5,3.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Beck,DEN,TE,0,0,0,27.9,295.3,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonnu Smith,NE,TE,0,0,0,29.4,313,2.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Conklin,NYJ,TE,0,0,0,33.9,327.1,2.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Bryant,CLE,TE,0,0,0,28.8,305.3,2.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Arnold,JAC,TE,0,0,0,27.9,328.5,1.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Quessenberry,HOU,TE,0,0,0,37,334,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Likely,BAL,TE,0,0,0,27.3,288.1,2.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Tremble,CAR,TE,0,0,0,27.6,281.7,2.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foster Moreau,LV,TE,0,0,0,23.7,266.3,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geoff Swaim,TEN,TE,0,0,0,26.6,236.9,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O.J. Howard,BUF,TE,0,0,0,22,249,1.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Bellinger,NYG,TE,0,0,0,25.1,258.6,1.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jelani Woods,IND,TE,0,0,0,21.7,230.2,2.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donald Parham Jr.,LAC,TE,0,0,0,20.5,214.2,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James O'Shaughnessy,CHI,TE,0,0,0,22.4,246.3,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taysom Hill,NO,TE,0,0,0,17.3,189,2.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durham Smythe,MIA,TE,0,0,0,23.2,230.8,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cade Otton,TB,TE,0,0,0,19.7,206.3,1.7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey McBride,ARI,TE,0,0,0,19.9,207.7,1.7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pharaoh Brown,HOU,TE,0,0,0,24.4,230.5,1.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Firkser,ATL,TE,0,0,0,22.3,221,1.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Dulcich,DEN,TE,0,0,0,18.6,201.6,1.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Akins,NYG,TE,0,0,0,24,230.7,1.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kylen Granson,IND,TE,0,0,0,18.5,207.4,1.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josiah Deguara,GB,TE,0,0,0,18.1,191.7,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Bates,WAS,TE,0,0,0,17.3,193.1,1.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kendall Blanton,WAS,TE,0,0,0,16.6,181.4,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Thomas,CAR,TE,0,0,0,18.6,182.6,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcedes Lewis,GB,TE,0,0,0,16.5,169.2,1.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Dissly,SEA,TE,0,0,0,17,176.3,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Kolar,BAL,TE,0,0,0,12.2,142.4,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Davidson,MIN,TE,0,0,0,14,148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
